game_seed,winner,total_rounds_played,avg_score_per_round,scoring_routes_count,avg_route_length,pct_routes_stopped_by_hop_limit,collision_count_per_round,noise_plays,terminal_plays,amplifier_plays,amplifier_score_rate,terminal_steal_rate,seed_node_utilization_rate,dead_rounds_count,turn_pct_extending_vs_starting,avg_legal_moves_per_turn,score_p0,score_p1,score_p2,score_p3
191664964,P3,2,2550.0,9,2.89,0.444,0.0,0,5,4,0.0,1.0,0.5,0,0.63,4.12,700,1900,200,2300
1662057958,P2,3,2266.67,15,2.8,0.583,0.333,1,5,4,0.25,1.0,0.889,0,0.636,4.75,1100,1600,2700,1400
1405681632,P1,2,3300.0,10,2.7,0.429,0.0,1,4,3,1.0,1.0,1.0,0,0.607,4.43,0,2400,1800,2400
942484272,P2,1,3500.0,5,2.8,0.25,0.0,0,3,3,0.333,1.0,1.0,0,0.6,5.17,0,900,2000,600
929893138,P0,3,2033.33,15,2.8,0.583,0.0,0,5,3,0.667,1.0,0.778,0,0.628,4.56,2300,1500,1300,1000
1843824993,P1,3,1600.0,11,3.0,0.769,1.0,1,3,5,0.4,1.0,0.778,0,0.614,4.72,1400,2000,1000,400
184566854,P1,4,1950.0,17,2.76,0.533,0.75,3,7,4,0.25,0.857,0.667,0,0.618,4.77,1800,3100,1000,1900
1497586439,P1,3,2066.67,15,2.8,0.667,0.0,0,4,4,0.25,1.0,0.778,0,0.643,4.57,1100,2300,1800,1000
432652533,P2,4,1125.0,15,2.6,0.538,1.25,3,6,3,0.0,1.0,0.417,0,0.604,4.45,400,700,2000,1400
202244314,P3,2,2250.0,9,2.78,0.25,0.5,1,6,1,0.0,1.0,0.833,0,0.621,4.75,1600,100,700,2100
1130604998,P3,3,1933.33,13,2.62,0.4,1.0,2,6,2,0.0,1.0,0.778,0,0.605,4.58,200,1800,1400,2400
2095133046,P3,2,1950.0,10,2.8,0.889,0.0,0,1,2,0.0,1.0,0.833,0,0.621,4.33,200,1000,600,2100
1580016184,P0,5,1340.0,18,2.83,0.5,0.4,1,8,3,0.0,1.0,0.533,1,0.621,4.57,1700,1700,1700,1600
1634535063,P2,2,2350.0,9,2.56,0.333,1.0,2,4,1,0.0,1.0,0.667,0,0.607,4.58,200,0,2800,1700
1540770720,P1,4,1575.0,15,3.0,0.667,0.75,1,6,5,0.2,1.0,0.667,0,0.667,4.7,500,3100,1800,900
1688060241,P3,3,1866.67,16,2.69,0.545,0.0,0,5,5,0.2,1.0,0.889,0,0.614,4.81,1300,1200,900,2200
1102145673,P3,3,1766.67,13,2.69,0.75,0.667,2,3,2,0.5,1.0,0.667,0,0.619,4.58,100,1100,1700,2400
275121931,P0,3,2033.33,11,2.82,0.667,1.0,2,4,3,1.0,1.0,0.444,0,0.634,4.5,2100,1800,1200,1000
1803345591,P2,4,1625.0,15,2.87,0.625,1.25,2,6,3,0.333,1.0,0.583,0,0.643,4.5,1800,1900,2600,200
967196436,P2,2,2450.0,10,2.8,0.5,0.0,0,4,1,0.0,1.0,0.833,0,0.621,4.88,600,800,2100,1400
1074497556,P3,4,1650.0,14,2.71,0.533,1.5,4,7,2,0.5,1.0,0.5,0,0.636,4.48,500,2200,1600,2300
796282693,P3,1,3400.0,6,2.5,0.25,0.0,0,3,1,1.0,1.0,1.0,0,0.6,4.58,0,900,400,2100
392022359,P3,3,1866.67,12,2.75,0.455,0.667,3,6,2,0.0,1.0,0.556,0,0.625,4.53,1100,1400,1100,2000
1990212659,P2,3,2100.0,14,2.71,0.636,0.333,1,4,3,0.0,1.0,0.667,0,0.61,4.86,700,1000,2400,2200
1678403331,P0,4,1750.0,17,2.88,0.611,0.75,1,7,4,0.5,1.0,0.75,0,0.655,4.71,2400,1400,1300,1900
1382689816,P3,2,2200.0,9,2.89,0.75,0.0,0,2,4,0.5,1.0,0.833,0,0.586,4.5,400,1000,900,2100
864178267,P3,4,1575.0,17,2.82,0.562,0.75,2,7,4,0.5,1.0,0.75,0,0.632,4.88,1200,1600,1200,2300
1766867110,P2,2,2050.0,10,2.8,0.625,0.0,0,3,0,0.0,1.0,0.833,0,0.621,4.88,1100,900,2000,100
1171300113,P2,2,2300.0,10,2.9,0.889,0.0,0,1,4,0.5,1.0,0.833,0,0.655,4.25,500,1100,2600,400
952224741,P0,3,1800.0,13,2.85,0.615,0.667,1,5,3,0.333,1.0,0.778,0,0.651,4.78,2100,1100,1700,500
967354525,P2,3,2300.0,14,2.64,0.5,0.667,1,5,5,0.4,1.0,0.556,0,0.61,4.75,700,1800,3000,1400
487991439,P2,3,1500.0,12,2.75,0.8,0.333,1,2,2,0.5,1.0,0.556,0,0.59,4.71,600,100,2700,1100
197860369,P2,5,1080.0,13,2.85,0.571,0.8,3,6,3,0.0,1.0,0.4,1,0.608,4.46,900,1300,1800,1400
1190961761,P3,4,1700.0,19,2.68,0.571,0.25,2,6,2,0.5,1.0,0.667,0,0.618,4.56,1300,1600,1800,2100
1906728919,P0,3,2066.67,14,2.86,0.538,0.333,1,6,4,0.0,1.0,0.778,0,0.651,4.94,2000,1400,1200,1600
137046513,P1,4,1275.0,13,2.69,0.538,0.75,2,6,2,0.5,1.0,0.417,0,0.622,4.03,200,2200,900,1800
1843166519,P3,3,1733.33,14,2.79,0.417,0.333,1,7,3,0.333,1.0,0.889,0,0.628,4.29,1600,900,700,2000
1777324408,P3,3,1566.67,12,2.75,0.75,0.667,2,3,2,0.5,1.0,0.778,0,0.61,4.37,0,1300,600,2800
594336918,P2,2,2600.0,11,2.73,0.667,0.0,0,3,3,0.333,1.0,1.0,0,0.633,4.83,700,800,2200,1500
1356488968,P1,3,2133.33,15,2.67,0.5,0.333,1,6,3,0.667,0.833,0.778,0,0.628,4.39,2200,2300,1500,400
354826746,P1,3,2433.33,15,2.73,0.727,0.0,0,3,3,0.667,1.0,0.889,0,0.619,4.47,400,2900,2300,1700
1627981025,P1,5,1060.0,12,2.92,0.562,1.4,2,7,3,0.0,1.0,0.467,2,0.614,4.4,700,1800,1200,1600
1504361615,P1,3,1833.33,12,2.67,0.462,1.0,2,7,1,0.0,1.0,0.667,0,0.619,4.72,1500,2000,0,2000
761338719,P3,4,2025.0,19,2.79,0.688,0.25,1,5,5,0.4,1.0,0.833,0,0.632,4.64,2300,1300,1300,3200
145857092,P3,2,2300.0,10,2.7,0.625,0.0,0,3,1,0.0,1.0,0.833,0,0.607,5.09,700,1000,900,2000
2084558134,P1,4,1800.0,16,2.62,0.643,1.25,3,5,3,0.667,1.0,0.583,0,0.625,4.67,1200,2100,1900,2000
957106590,P3,2,2450.0,10,2.9,0.667,0.0,0,3,3,0.333,1.0,1.0,0,0.655,4.83,500,200,2000,2200
1917963003,P3,2,2550.0,10,2.9,0.444,0.0,0,5,1,0.0,1.0,1.0,0,0.633,5.04,100,0,2100,2900
1455819992,P3,4,2025.0,16,2.81,0.562,0.5,4,7,3,0.333,1.0,0.5,0,0.635,4.77,2100,1600,2100,2300
1671565831,P1,5,980.0,16,2.69,0.692,0.8,3,4,5,0.0,1.0,0.333,1,0.6,4.58,600,1700,1100,1500
1631871624,P0,4,1575.0,14,2.57,0.615,1.25,3,5,5,0.6,0.8,0.333,0,0.62,3.98,2600,800,2200,700
417983442,P1,3,1866.67,13,2.77,0.727,0.667,1,3,3,0.333,1.0,0.667,0,0.619,4.83,1100,2300,800,1400
781482251,P1,3,2066.67,16,2.69,0.636,0.0,0,4,1,0.0,1.0,0.778,0,0.628,4.78,1500,2200,600,1900
1002275723,P3,3,1433.33,12,2.83,0.643,1.0,2,5,1,0.0,1.0,0.778,0,0.651,4.67,1200,900,100,2100
1068999196,P2,3,1266.67,9,2.67,0.636,1.333,3,4,3,0.0,1.0,0.333,0,0.622,4.11,0,900,2300,600
94067870,P3,2,2700.0,10,3.0,0.7,0.0,0,3,3,0.333,1.0,1.0,0,0.667,4.58,0,1100,1400,2900
