game_seed,winner,total_rounds_played,avg_score_per_round,scoring_routes_count,avg_route_length,pct_routes_stopped_by_hop_limit,collision_count_per_round,interference_plays,ack_plays,broadcast_plays,broadcast_score_rate,ack_steal_rate,seed_utilization_rate,dead_rounds_count,turn_pct_extending_vs_starting,avg_legal_moves_per_turn,score_p0,score_p1,score_p2,score_p3
191664964,P2,3,1200.0,7,2.0,0.0,0.667,1,2,1,0.0,0.0,0.0,0,0.364,8.42,600,600,1800,600
1662057958,P3,2,1100.0,7,2.43,0.0,0.0,0,1,1,2.0,0.0,0.0,0,0.556,7.0,500,400,0,1300
1405681632,P3,3,1433.33,8,2.12,0.0,0.0,0,4,0,0.0,0.0,0.0,0,0.409,7.5,400,1300,700,1900
942484272,P3,4,1250.0,9,2.22,0.0,0.25,1,2,2,1.0,0.0,0.0,0,0.379,7.56,500,1300,500,2700
929893138,P1,3,900.0,8,2.25,0.0,0.0,0,2,0,0.0,0.0,0.0,0,0.435,8.0,300,1400,300,700
1843824993,P3,2,1500.0,7,2.29,0.0,0.0,0,1,0,0.0,0.0,0.0,0,0.529,7.25,800,0,0,2200
184566854,P1,8,425.0,10,2.1,0.0,0.125,1,4,4,0.25,0.0,0.0,2,0.24,8.11,600,1100,800,900
1497586439,P1,2,900.0,5,2.0,0.0,0.0,0,1,1,1.0,0.0,0.0,0,0.333,7.5,100,1500,0,200
432652533,P1,1,1900.0,2,2.0,0.0,0.0,0,1,1,1.0,0.0,0.0,0,0.286,8.5,0,1400,0,500
202244314,P3,5,1100.0,12,2.17,0.0,0.4,1,2,3,0.667,0.0,0.0,1,0.447,8.0,400,1500,0,3600
1130604998,P3,2,1450.0,7,2.0,0.0,0.5,1,2,2,1.0,0.0,0.0,0,0.467,7.25,400,700,0,1800
2095133046,P3,3,1000.0,7,2.0,0.0,1.0,2,2,1,0.0,0.0,0.0,0,0.364,8.08,200,500,200,2100
1580016184,P1,4,625.0,10,2.3,0.0,0.0,0,3,0,0.0,0.0,0.0,0,0.433,8.38,200,1200,200,900
1634535063,P3,1,1500.0,3,2.33,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.444,9.75,0,0,0,1500
1540770720,P3,4,525.0,8,2.12,0.0,0.5,2,3,1,0.0,0.0,0.0,1,0.37,8.25,400,0,400,1300
1688060241,P3,2,1900.0,7,2.14,0.0,0.0,0,2,1,3.0,0.0,0.0,0,0.5,6.62,500,600,300,2400
1102145673,P2,5,680.0,8,2.12,0.0,0.8,2,2,3,0.333,0.0,0.0,0,0.294,8.15,500,700,1200,1000
275121931,P3,2,800.0,6,2.5,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.5,9.25,400,0,0,1200
1803345591,P3,3,866.67,5,2.2,0.0,0.667,1,1,1,2.0,0.0,0.0,1,0.409,7.58,600,0,700,1300
967196436,P0,5,660.0,10,2.3,0.0,0.0,0,4,0,0.0,0.0,0.0,0,0.371,7.85,1200,1000,900,200
1074497556,P3,4,525.0,5,2.4,0.0,1.25,2,3,1,1.0,0.0,0.0,1,0.385,7.94,0,100,700,1300
796282693,P1,1,1400.0,2,2.5,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0.375,7.0,0,1400,0,0
392022359,P3,3,1133.33,6,2.17,0.0,0.667,1,2,0,0.0,0.0,0.0,0,0.409,7.92,1000,0,0,2400
1990212659,P0,4,675.0,8,2.12,0.0,0.25,1,3,3,0.333,0.0,0.0,0,0.333,7.44,1400,700,300,300
1678403331,P3,3,1900.0,10,2.2,0.0,0.333,1,1,1,3.0,0.0,0.0,0,0.5,7.75,600,200,1400,3500
1382689816,P3,6,700.0,12,2.0,0.0,0.667,2,5,1,1.0,0.0,0.0,1,0.405,7.62,1100,1400,0,1700
864178267,P2,1,2100.0,4,2.25,0.0,0.0,0,1,0,0.0,0.0,0.0,0,0.556,9.25,0,0,1500,600
1766867110,P3,3,1100.0,10,2.2,0.0,0.333,1,2,1,0.0,0.0,0.0,0,0.5,7.08,600,1000,100,1600
1171300113,P3,2,850.0,4,2.25,0.0,0.0,0,2,0,0.0,0.0,0.0,0,0.357,9.62,0,400,100,1200
952224741,P1,3,766.67,5,2.0,0.0,0.667,1,1,0,0.0,0.0,0.0,0,0.3,6.42,600,1200,500,0
967354525,P2,7,557.14,11,2.36,0.0,0.429,3,3,2,1.0,0.0,0.0,2,0.348,8.04,0,1400,1500,1000
487991439,P1,6,500.0,10,2.1,0.0,0.667,2,4,3,0.667,0.0,0.0,0,0.324,6.5,900,1500,0,600
197860369,P1,4,800.0,10,2.0,0.0,0.25,1,3,1,0.0,0.0,0.0,0,0.333,7.88,200,1400,300,1300
1190961761,P3,3,566.67,5,2.0,0.0,0.667,1,3,0,0.0,0.0,0.0,0,0.35,9.75,500,0,0,1200
1906728919,P2,3,866.67,7,2.14,0.0,0.667,1,2,1,3.0,0.0,0.0,1,0.417,7.75,200,400,1200,800
137046513,P3,4,975.0,9,2.0,0.0,0.5,1,2,2,1.0,0.0,0.0,0,0.357,7.69,1100,700,500,1600
1843166519,P1,3,800.0,5,2.0,0.0,0.667,1,2,2,0.5,0.0,0.0,1,0.333,6.58,800,1200,0,400
1777324408,P1,6,533.33,13,2.31,0.0,0.5,1,4,2,1.0,0.0,0.0,1,0.409,8.0,500,1400,900,400
594336918,P3,4,1275.0,11,2.18,0.0,0.5,3,1,1,0.0,0.0,0.0,0,0.433,7.5,700,1400,0,3000
1356488968,P3,4,1250.0,13,2.08,0.0,0.25,1,2,1,1.0,0.0,0.0,0,0.452,8.31,700,1900,400,2000
354826746,P3,2,1350.0,5,2.4,0.0,0.0,0,1,2,1.0,0.0,0.0,0,0.467,8.12,0,700,700,1300
1627981025,P1,3,833.33,6,2.17,0.0,1.0,2,1,0,0.0,0.0,0.0,1,0.381,8.33,0,1500,0,1000
1504361615,P3,2,1300.0,4,2.25,0.0,1.0,1,1,0,0.0,0.0,0.0,1,0.467,8.0,500,0,0,2100
761338719,P1,3,766.67,7,2.43,0.0,0.333,1,2,1,1.0,0.0,0.0,0,0.476,6.67,200,1400,400,300
145857092,P0,3,600.0,5,2.0,0.0,0.0,0,3,2,0.0,0.0,0.0,0,0.238,7.67,1200,400,200,0
2084558134,P3,2,1600.0,6,2.0,0.0,0.0,0,2,1,1.0,0.0,0.0,0,0.4,9.12,1200,700,0,1300
957106590,P1,4,575.0,6,2.17,0.0,0.75,2,1,1,0.0,0.0,0.0,1,0.296,7.06,200,1700,0,400
1917963003,P2,6,800.0,14,2.21,0.0,0.333,1,2,2,0.0,0.0,0.0,0,0.386,8.67,1100,900,2300,500
1455819992,P3,1,2500.0,4,2.5,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.6,7.75,0,700,0,1800
1671565831,P1,1,2300.0,4,2.0,0.0,0.0,0,1,1,1.0,0.0,0.0,0,0.5,7.5,300,1200,0,800
